CODSABER,CODPRES,CENTRO_EDUCATIVO,TIPO_INSTITUCION,REGIONAL,PROVINCIA,CANTON,DISTRITO,POBLADO,DIRECCION,LATITUD,LONGITUD
100182-00,0000,CIENTÍFICO COSTARRICENSE DE SAN PEDRO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,CALLE LA CRUZ,50E Y 15 N DE FACULTAD DE AGRONOMIA DE LA UCR,9.93836787,-84.04763892
100210-00,0000,CIENTÍFICO DE COSTA RICA DE PEREZ ZELEDON -UNA-,PÚBLICO,DIRECCIÓN REGIONAL PÉREZ ZELEDÓN,SAN JOSÉ,PÉREZ ZELEDÓN,SAN ISIDRO DEL GENERAL,SINAI,1 KM NORTE DE LA ESCUELA SINAI,9.37993884,-83.6912943
100219-00,0000,CIENTÍFICO DE COSTA RICA DE ALAJUELA -UNED-,PÚBLICO,DIRECCIÓN REGIONAL ALAJUELA,ALAJUELA,ALAJUELA,ALAJUELA,CRISTO REY,"CALLE 18-20, AVE. CENTRAL FRENTE PLAZA FERIAS",10.01394561,-84.22285168
100258-00,0000,CIENTÍFICO DE COSTA RICA DE SAN RAMON -UCR-,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,SAN RAMÓN,ALFARO,SAN PEDRO,1 K. OESTE DEL BANCO NAL. SEDE OCCIDENTE UCR,10.08656159,-84.48064037
100291-00,0000,CIENTÍFICO DE COSTA RICA DE SAN CARLOS -TEC-,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,FLORENCIA,SANTA CLARA,INSTALACIONES DEL ITCR SAN CARLOS,10.36090855,-84.50888468
100299-00,5598,LICEO COQUITAL,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,LOS CHILES,LOS CHILES,COQUITAL,DE LA PULPERIA LA VICTORIA 100 MTRS NORTE,"10,94749694","-84,57734842"
100302-00,0000,CIENTÍFICO DE COSTA RICA DE CARTAGO -TEC-,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,ORIENTAL,PUEBLA,CAMPUS DEL ITCR,9.85494741,-83.90804722
100355-00,0000,HUMANÍSTICO COSTARRICENSE-CAMPUS HEREDIA,PÚBLICO,DIRECCIÓN REGIONAL HEREDIA ,HEREDIA,HEREDIA,HEREDIA,CORAZÓN DE JESÚS,"150M N DEL OVSICORI, SOBRE CALLE 11",10.00313194,-84.11133113
100427-00,0000,HUMANÍSTICO COSTARRICENSE-CAMPUS SARAPIQUÍ,PÚBLICO,DIRECCIÓN REGIONAL SARAPIQUÍ,HEREDIA,SARAPIQUÍ,LAS HORQUETAS,COLONIA VICTORIA,"DENTRO DE LAS INSTALACIONES DE LA UNA,SARAPIQ",10.31845247,-83.92307422
100430-00,0000,CIENTÍFICO DE COSTA RICA DE GUANACASTE -UCR-,PÚBLICO,DIRECCIÓN REGIONAL LIBERIA,GUANACASTE,LIBERIA,LIBERIA,CAPULÍN,CAMPUS UCR 1KM AL SUR DE LAS BOMBAS DE LIBERI,10.61798788,-85.46107487
100438-00,0000,HUMANÍSTICO COSTARRICENSE-CAMPUS NICOYA,PÚBLICO,DIRECCIÓN REGIONAL NICOYA,GUANACASTE,NICOYA,NICOYA,GRANJA,75 M SUR DEL MOPT,10.13426602,-85.44673075
100462-00,0000,CIENTÍFICO DE COSTA RICA DE PUNTARENAS -UCR-,PÚBLICO,DIRECCIÓN REGIONAL PUNTARENAS,PUNTARENAS,PUNTARENAS,PUNTARENAS,COCAL,INSTALACIONES UCR SEDE DEL PACIFICO,9.98132252,-84.8107911
100490-00,0000,HUMANÍSTICO COSTARRICENSE-SEDE COTO,PÚBLICO,DIRECCIÓN REGIONAL COTO,PUNTARENAS,CORREDORES,CANOAS,VERACRUZ,"EN LAS INSTALACIONES DE LA UNA, VERACRUZ",8.57342633,-82.87151284
100497-00,0000,CIENTÍFICO DE COSTA RICA DEL ATLANTICO -UNED-,PÚBLICO,DIRECCIÓN REGIONAL LIMÓN,LIMÓN,LIMÓN,LIMÓN,LA COLINA,"INSTALACIONES DE LA UNED, SOBRE LA RUTA 32",9.98344162,-83.07029892
100516-00,0304,J.N. ANDRÉS BELLO LÓPEZ,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SANTA ANA,COSTADO SUR DEL BANCO DE COSTA RICA,9.93279618,-84.18219252
100517-00,0306,EL CARMEN,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN ANTONIO,EL CARMEN,"25 SUR DE IGLESIA CATOLICA, EL CARMEN","9,8967534","-84,14121184"
100518-00,0307,DAVID MARÍN HIDALGO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN ANTONIO,BEBEDERO,200 SUR DE LA IGLESIA CATOLICA,"9,90327017","-84,15965354"
100519-00,0308,BELLO HORIZONTE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,BELO HORIZONTE,75 METROS SUROESTE DEL TEMPLO CATOLICO,"9,91935087","-84,13000764"
100520-00,0309,BETANIA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,MERCEDES,BETANIA,100 ESTE DE LA ROTONDA DE LA BANDERA,"9,93971231","-84,0535617"
100521-00,0310,BRASIL DE SANTA ANA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,BRASIL,BRASIL,200 SUROESTE DE PARADA DE BUSES TAPACHULA,"9,93543488","-84,22480796"
100522-00,0311,CARMEN LYRA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,CONCEPCIÓN,CONCEPCIÓN,"500 SURESTE DEL PUENTE CAÑAS, VIA CEDES","9,89313568","-84,08764071"
100523-00,0312,SAN RAFAEL,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,CINCO ESQUINAS,SAN RAFAEL,URBANIZACION LAS LILAS,"9,94677813","-84,08737603"
100524-00,0313,PATIO DE AGUA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN RAFAEL,PATIO DE AGUA,3 KM SURESTE DEL LA IGLESIA SAN RAFAEL,"9,97489483","-83,96508638"
100525-00,0314,MONTERREY VARGAS ARAYA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,VARGAS ARAYA,250 ESTE DE LA FUNDACION COSTA RICA CANADA,"9,93773354","-84,03428572"
100526-00,0315,BUENAVENTURA CORRALES,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,CARMEN,AMÓN,CALLES 7 Y 9 AVENIDA 5,"9,93611332","-84,07431514"
100527-00,0318,LA PEREGRINA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,URUCA,PEREGRINA,700 NORTE 200 ESTE Y 50 SUR DE LA AGENCIA KIA,"9,95606208","-84,10081941"
100528-00,0319,JESÚS JIMÉNEZ ZAMORA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,SAN JUAN,JESÚS JIMÉNEZ,CONTIGUO AL ESTADIO MUNICIPAL DE TIBAS,"9,96619241","-84,08230782"
100529-00,0320,CARLOS SANABRIA MORA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,PAVAS,PAVAS (CENTRO),400 OESTE Y 200 SUR DE LA EMBAJADA AMERICANA,"9,94327177","-84,13068339"
100530-00,0321,CAROLINA DENT ALVARADO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HATILLO,SAGRADA FAMILIA,300 ESTE DE LA IGLESIA CATOLICA,"9,91767437","-84,0883152"
100531-00,0322,PÍO XII,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,CASCAJAL,CASCAJAL,COSTADO NORTE DE LA IGLESIA CATOLICA CASCAJAL,"10,00297689","-83,95935345"
100532-00,0323,BARRIO LÁMPARAS,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ALAJUELITA,SAN ANTONIO,LÁMPARAS,150 M SUR DE LA IGLESIA CATOLICA,"9,87548491","-84,10630401"
100533-00,0324,SAN RAFAEL,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SANTA ANA,SAN RAFAEL,FRENTE A LA IGLESIA CATOLICA,"9,9252792","-84,17727623"
100534-00,0325,ESMERALDA OREAMUNO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,CINCO ESQUINAS,CINCO ESQUINAS,DIAGONAL A LA IGLESIA CATOLICA,"9,94681611","-84,08072828"
100535-00,0326,J.N. ESMERALDA OREAMUNO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,CINCO ESQUINAS,CINCO ESQUINAS,COSTADO NORTE DE PLAY GROUND,"9,946724","-84,08097305"
100536-00,0327,CORAZÓN DE JESÚS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,ESCAZÚ,CORAZÓN DE JESÚS,1 KM. SUROESTE DEL BANCO NACIONAL,"9,91443435","-84,14771007"
100537-00,0328,CIUDADELA DE PAVAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,PAVAS,LLANOS DEL SOL,CONTIGUO AL LICEO DE PAVAS,"9,94691426","-84,13699162"
100538-00,0329,QUINCE DE SETIEMBRE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HATILLO,QUINCE DE SETIEMBRE,150 NORTE DEL PUENTE PEATONAL PIANO,"9,91184554","-84,09641482"
100539-00,0330,CONCEPCIÓN,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,CONCEPCIÓN,CONCEPCIÓN,"200M SUR DE LA GAR, CONCEPCION ABAJO","9,8955359","-84,09381677"
100540-00,0331,J.N. CONCEPCIÓN,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,CONCEPCIÓN,CONCEPCIÓN,50 OESTE DEL PALI CONCEPCION ABAJO,"9,89590304","-84,09393077"
100541-00,0332,CORAZÓN DE JESÚS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,URUCA,CORAZÓN DE JESÚS,600 NOROESTE DE LA COMPAÑIA POZUELO,"9,95903829","-84,11263068"
100542-00,0333,PLATANARES,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MORAVIA,SAN JERÓNIMO,PLATANARES,600 OESTE DE LA IGLESIA CATOLICA,"10,00161599","-84,01236762"
100543-00,0334,COSTA RICA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,MERCED,CLARET,COSTADO DE LA TERMINAL DE LOS BUSES Bº MEXICO,"9,94239283","-84,09307608"
100544-00,0335,JUAN SANTAMARÍA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,CURRIDABAT,CURRIDABAT,200 SUR DE LA PARROQUIA SAN ANTONIO PADUA,"9,91184039","-84,03741598"
100545-00,0336,LEÓN XIII,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,TIBÁS,LEON XIII,LEÓN TRECE,CONTIGUO AL INA,"9,96051217","-84,09835411"
100546-00,0337,LAS BRISAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,URUCA,ROSITER CARBALLO,"OFICINAS DE MIGRACIÓN 1 KM OESTE, 150 M SUR","9,96454154","-84,12726687"
100547-00,0338,APOLINAR LOBO UMAÑA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,HEREDIA,SANTO DOMINGO,PARACITO,PARACITO,COSTADO NORTE DE PLAZA DE DEPORTES,"9,9931875","-84,02551454"
100548-00,0339,DULCE NOMBRE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,DULCE NOMBRE DE JESÚS,DULCE NOMBRE DE JESÚS,FRENTE A LA PLAZA DE DEPORTES,"9,98265464","-84,01448062"
100549-00,0340,EL LLANO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,SAN ANTONIO,LLANO,CONTIGUO A LA IGLESIA CATOLICA,"9,88540876","-84,11455814"
100550-00,0341,PABELLÓN,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SALITRAL,PABELLÓN,"3.5 KM DE LA ANTIGUA GUARDIA RURAL, SALITRAL","9,8948505","-84,18645662"
100551-00,0342,LOMAS DEL RÍO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,PAVAS,LOMAS DEL RIO,CONTIGUO A IGLESIA CATOLICA SAGRADA FAMILIA,"9,95963932","-84,16217913"
100552-00,0343,REPÚBLICA DE VENEZUELA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,ESCAZÚ,ESCAZÚ,COSTADO SUR DEL PARQUE ESCAZU CENTRO,"9,91922149","-84,14063416"
100553-00,0344,ESPAÑA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,CATEDRAL,SOLEDAD,AVENIDA 6 CALLES 9 Y 11 25 SUR I. LA SOLEDAD,"9,93099684","-84,07465454"
100554-00,0345,DOCTOR FERRAZ,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,CALLE BLANCOS,CALLE BLANCOS (CENTRO),200 OESTE DE FEMSA,"9,94297818","-84,06766972"
100555-00,0346,CLAUDIO CORTÉS CASTRO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,SAN FRANCISCO,SAN FRANCISCO,300 OESTE DEL CENTRO COMERCIAL DE GUADALUPE,"9,94139153","-84,06802099"
100556-00,0347,MARCELINO GARCIA FLAMENCO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,CATEDRAL,DOLOROSA,CALLE PRIMERA AVENIDAS 12 Y 14,"9,92848457","-84,07837113"
100557-00,0348,LOS SITIOS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MORAVIA,LA TRINIDAD,SITIOS,FRENTE A LA TERMINAL DE BUSES DE LOS SITIOS,"9,98301167","-84,04062984"
100558-00,0349,JOSÉ ÁNGEL VIETO RANGEL,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,SÁNCHEZ,SÁNCHEZ,CARRETERA A CONCEPCION FRENTE  A TANQUE A Y A,"9,92684553","-84,01360937"
100559-00,0350,GUACHIPELÍN,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN RAFAEL,GUACHIPELÍN,600 SUR DE CONSTRUPLAZA,"9,94433536","-84,15935382"
100561-00,0352,PILAR JIMÉNEZ SOLIS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,GUADALUPE,GUADALUPE,300 NORTE DE CORREOS DE COSTA RICA,"9,94896452","-84,0552527"
100562-00,0353,TEJARCILLOS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,SAN FELIPE,TEJARCILLOS,150 METROS OESTE DEL EBAIS,"9,9028572","-84,11177758"
100563-00,0354,HONDURAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,POZOS,CORAZÓN DE JESÚS,1.5 KM NOROESTE DE LA IGLESIA CATOLICA,"9,96369442","-84,18887899"
100564-00,0355,J.N. MIGUEL DE CERVANTES SAAVEDRA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HATILLO,HATILLO 3,CONTIGUO A LA PLAZA DE DEPORTES HATILLO 3,"9,91496618","-84,10482039"
100565-00,0356,CIUDADELAS UNIDAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,SAN FELIPE,AURORA,DE LA SUBESTACION DEL ICE 25 O Y 100 N,"9,9138944","-84,11120892"
100566-00,0357,SAN FRANCISCO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN ISIDRO,SAN FRANCISCO,BARRIO CORAZON DE JESUS,"9,97299463","-83,99968052"
100567-00,0358,ABRAHAM LINCOLN,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,ALAJUELITA,ALAJUELITA,50 METROS OESTE DEL MEGASUPER,"9,90031483","-84,09971792"
100568-00,0359,MONSERRAT,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,CASCAJAL,MONSERRAT,2 KM NOROESTE DE LA ERMITA,"10,03137369","-83,93509173"
100569-00,0360,LUIS DEMETRIO TINOCO CASTRO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,PURRAL,CUADROS,FRENTE A LA PLAZA DE DEPORTES,"9,96010761","-84,00767912"
100571-00,0362,J.N. MIGUEL OBREGÓN LIZANO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,SAN JUAN,SAN JUAN,ESQUINA SUROESTE DEL PARQUE 100 OESTE 75 SUR,"9,96084892","-84,07985801"
100572-00,0363,REPÚBLICA DE PARAGUAY,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HATILLO,HATILLO 1,75 MTS O DE LA IGLESIA CATOLICA CORAZON DE JE,"9,91660676","-84,09842434"
100573-00,0364,J.N. REPÚBLICA DE PARAGUAY,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HATILLO,HATILLO CENTRO,CONTIGUO A LA ESCUELA REP. DE PARAGUAY,"9,91643494","-84,09818785"
100574-00,0366,JUAN FLORES UMAÑA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,IPIS,PRAGA,150 ESTE DE LA CLINICA JERUSALEM,"9,96128226","-84,03617938"
100575-00,0367,J.N. SARITA MONTEALEGRE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,CURRIDABAT,CURRIDABAT,300 SUR 50 ESTE DEL BANCO NACIONAL,"9,91328151","-84,03386784"
100577-00,0369,DR. JOSÉ MARÍA CASTRO MADRIZ,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,ZAPOTE,CÓRDOBA,50 ESTE 100 NORTE 50 ESTE DEL M. DE SEGURIDAD,"9,91870754","-84,06730412"
100578-00,0370,JUAN RAFAEL MORA PORRAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,MERCED,COCACOLA,"CALLES 22 Y 24, AVENIDA PRIMERA, PASEO COLON","9,93617244","-84,088695"
100579-00,0371,J.N. OMAR DENGO GUERRERO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HOSPITAL,CUBA,150 NORTE DEL LICEO DEL SUR,"9,92576993","-84,08762714"
100580-00,0372,J.N. JOSÉ RAFAEL ARAYA ROJAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,SAN JUAN,FLORIDA,200 METROS NORTE DE ROSTIPOLLOS,"9,9634394","-84,06558032"
100582-00,0374,LA ISLA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MORAVIA,SAN VICENTE,ISLA,150 ESTE 125 SUR DEL TEMPLO CATOLICO,"9,97151745","-84,04399115"
100583-00,0375,LA MINA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,URUCA,MINA,50 SUR DEL ABASTECEDOR RIO ORO,"9,91630812","-84,19662684"
100584-00,0376,LA TRINIDAD,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MORAVIA,LA TRINIDAD,LA TRINIDAD,400 NORTE DEL MALL DON PANCHO,"9,97298652","-84,03298738"
100585-00,0377,ANTONIO JOSÉ DE SUCRE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,URUCA,MAGNOLIA,"URUCA, FRENTE A CENTRAL DE MANGUERAS","9,94983087","-84,10042488"
100586-00,0378,ISABEL LA CATÓLICA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,URUCA,RIO ORO,1 KM OESTE DE LA CRUZ ROJA,"9,9333866","-84,20034361"
100587-00,0379,PACÍFICA FERNÁNDEZ OREAMUNO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HATILLO,HATILLO 4,FRENTE A LAS INSTALACIONES DEL ICE,"9,91433669","-84,10020121"
100588-00,0380,ESTADO DE ISRAEL,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,PATALILLO,SAN ANTONIO,CONTIGUO A LA IGLESIA CATOLICA,"9,97307855","-84,02591654"
100589-00,0381,LAS NUBES,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN RAFAEL,NUBES,DE LA IGLESIA SAN RAFAEL 3KM IZQ EN CALLEPRIC,"9,98707665","-83,96098459"
100590-00,0382,MONSEÑOR ANSELMO LLORENTE Y LA FUENTE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,ANSELMO LLORENTE,ANSELMO LLORENTE,DEL PRICE SMART 100 AL OESTE,"9,95544329","-84,06932274"
100591-00,0383,LOS ÁNGELES,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,IPIS,ÁNGELES,400 ESTE DEL CRUCE IPIS CORONADO,"9,9656659","-84,01832705"
100592-00,0384,J.N. CRISTO REY,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HOSPITAL,CRISTO REY,CONTIGUO A LA ESCUELA REPUBLICA DE NICARAGUA,"9,92094303","-84,08355207"
100593-00,0385,J.N. DANTE ALIGHIERI,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,LOURDES,DIAGONAL A LA IGLESIA DE LOURDES,"9,93318537","-84,04118979"
100594-00,0386,DANTE ALIGHIERI,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,LOURDES,DIAGONAL A LA IGLESIA CATOLICA,"9,93333309","-84,04106566"
100595-00,0387,MAURO FERNÁNDEZ ACUÑA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HOSPITAL,ÁNGELES,200 METROS SUR DE LA IGLESIA LA MERCED,"9,93134547","-84,08392721"
100596-00,0388,GENERAL MANUEL BELGRANO GONZÁLEZ,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HATILLO,HATILLO 1,CONTIGUO A LA PLAZA DE DEPORTES,"9,92080102","-84,09564449"
100598-00,0390,JOSÉ CUBERO MUÑOZ,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,MATA DE PLATANO,CARMEN,300 ESTE PARROQUIA NUESTRA SENORA EL CARMEN,"9,95409532","-84,01194862"
100599-00,0391,JUAN ÁLVAREZ AZOFEIFA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SALITRAL,MATINILLA,COSTADO NORTE DE LA IGLESIA CATOLICA,"9,88886709","-84,17139597"
100600-00,0392,J.N. MATERNAL MONTESORIANO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,CARMEN,MORAZAN,EDIFICIO METALICO FRENTE PARQUE JARDIN PAZ,"9,93600665","-84,07414171"
100601-00,0393,CALLE EL ALTO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,SAN JOSECITO,EL ALTO,"400 O,100 S DE LOS TANQUES DE A Y A","9,89273681","-84,11194483"
100602-00,0394,NACIONES UNIDAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,CATEDRAL,LA CRUZ,DE LA ESTACION GASOLINERA 400M ESTE FRENTE SE,"9,91814052","-84,07413467"
100604-00,0396,LABORATORIO U.C.R.,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,VARGAS ARAYA,200 SUR DEL EBAIS VARGAS ARAYA,"9,94001882","-84,03649097"
100605-00,0397,OMAR DENGO GUERRERO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HOSPITAL,CUBA,"SAN JOSE,BARRIO CUBA, CALLE 16 Y 18 AVEN. 20","9,92623514","-84,08827465"
100606-00,0398,RAFAEL FRANCISCO OSEJO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,MATA REDONDA,SABANA SUR,CONTIGUO AL MAG,"9,93296876","-84,10977387"
